Size,Type,Time
1,naive,1.0e-6
1,naive,2.0e-7
1,naive,2.0e-7
1,naive,0.0
1,naive,2.0e-7
1,naive,0.0
1,naive,0.0
1,naive,0.0
1,naive,1.0e-7
1,naive,1.0e-7
50,naive,0.000280198
50,naive,0.000392398
50,naive,0.000351398
50,naive,0.000333998
50,naive,0.000349898
50,naive,0.000280598
50,naive,0.000485897
50,naive,0.000388698
50,naive,0.000368598
50,naive,0.000317798
100,naive,0.002924385
100,naive,0.002803385
100,naive,0.002847485
100,naive,0.00386688
100,naive,0.003011085
100,naive,0.002891785
100,naive,0.003124083
100,naive,0.003006084
100,naive,0.002876984
100,naive,0.003128983
500,naive,0.395725808
500,naive,0.401347279
500,naive,0.389601741
500,naive,0.391809629
500,naive,0.397604799
500,naive,0.392165627
500,naive,0.390065539
500,naive,0.390261437
500,naive,0.396241906
500,naive,0.401606277
1000,naive,3.150874947
1000,naive,3.183833271
1000,naive,3.162520484
1000,naive,3.144626578
1000,naive,3.18018339
1000,naive,3.167036958
1000,naive,3.118011117
1000,naive,3.23088482
1000,naive,3.225726647
1000,naive,3.152406334
1100,naive,4.283229755
1100,naive,4.222658375
1100,naive,4.238076192
1100,naive,4.191151739
1100,naive,4.228270942
1100,naive,4.300576759
1100,naive,4.191603535
1100,naive,4.1980433
1100,naive,4.218298492
1100,naive,4.174158025
1200,naive,5.497470125
1200,naive,5.570996635
1200,naive,5.506247777
1200,naive,5.559796692
1200,naive,5.496589526
1200,naive,5.530914643
1200,naive,5.458118627
1200,naive,5.52163249
1200,naive,5.452563754
1200,naive,5.503488983
1300,naive,6.934701009
1300,naive,7.009084115
1300,naive,7.041110343
1300,naive,7.010341204
1300,naive,7.011984494
1300,naive,6.928264236
1300,naive,6.965419237
1300,naive,6.893742315
1300,naive,6.955921784
1300,naive,6.881109979
1400,naive,9.043261932
1400,naive,9.073758768
1400,naive,8.788491876
1400,naive,8.640554957
1400,naive,8.772568255
1400,naive,8.573420407
1400,naive,8.81621942
1400,naive,8.775059036
1400,naive,8.958861261
1400,naive,8.704795604
1500,naive,10.949967911
1500,naive,10.730263472
1500,naive,11.28506253
1500,naive,11.157432303
1500,naive,11.500420883
1500,naive,10.79058744
1500,naive,11.507842538
1500,naive,10.919361252
1500,naive,11.724290985
1500,naive,10.777044301
1,better,7.0e-7
1,better,2.0e-7
1,better,2.0e-7
1,better,1.0e-7
1,better,2.0e-7
1,better,1.0e-7
1,better,1.0e-7
1,better,2.0e-7
1,better,1.0e-7
1,better,2.0e-7
50,better,0.000165599
50,better,0.000165999
50,better,0.000165999
50,better,0.000228299
50,better,0.000187799
50,better,0.000167399
50,better,0.0001658
50,better,0.000266199
50,better,0.000222599
50,better,0.000165299
100,better,0.001658291
100,better,0.001578691
100,better,0.001432292
100,better,0.001532892
100,better,0.001550692
100,better,0.001437192
100,better,0.001571592
100,better,0.001474692
100,better,0.001482192
100,better,0.001537091
500,better,0.19250438
500,better,0.195565964
500,better,0.197483154
500,better,0.199328144
500,better,0.197575453
500,better,0.199630942
500,better,0.210089587
500,better,0.205465712
500,better,0.201693031
500,better,0.194908968
1000,better,1.547861799
1000,better,1.556712052
1000,better,1.552048577
1000,better,1.557517448
1000,better,1.567964092
1000,better,1.539686942
1000,better,1.588058786
1000,better,1.566960297
1000,better,1.579494431
1000,better,1.577475641
1100,better,2.071723923
1100,better,2.074811906
1100,better,2.11187181
1100,better,2.072497118
1100,better,2.075389803
1100,better,2.080138477
1100,better,2.083203362
1100,better,2.09841798
1100,better,2.07766389
1100,better,2.079001384
1200,better,2.701970582
1200,better,2.745887949
1200,better,2.76067357
1200,better,2.74192127
1200,better,2.708020849
1200,better,2.793023098
1200,better,2.742434867
1200,better,2.742304267
1200,better,2.972392248
1200,better,2.914711853
1300,better,3.573231263
1300,better,3.593239757
1300,better,3.578739434
1300,better,3.453538997
1300,better,3.4339163
1300,better,3.478718163
1300,better,3.468847215
1300,better,3.651889245
1300,better,3.605659489
1300,better,3.586071592
1400,better,4.63358834
1400,better,4.361946179
1400,better,4.331928139
1400,better,4.533922668
1400,better,4.477755965
1400,better,4.588825075
1400,better,4.491037794
1400,better,4.576695739
1400,better,4.441622747
1400,better,4.65057103
1500,better,5.468434075
1500,better,5.464880301
1500,better,5.569727839
1500,better,5.400224966
1500,better,5.309025367
1500,better,5.349195655
1500,better,5.317491633
1500,better,5.315799248
1500,better,5.290771389
1500,better,5.290938594
1,lib,0.000549097
1,lib,1.2e-6
1,lib,4.0e-7
1,lib,3.0e-7
1,lib,4.0e-7
1,lib,3.0e-7
1,lib,3.0e-7
1,lib,4.0e-7
1,lib,2.0e-7
1,lib,3.0e-7
50,lib,4.0199e-5
50,lib,1.84e-5
50,lib,1.85e-5
50,lib,1.71e-5
50,lib,1.71e-5
50,lib,1.71e-5
50,lib,1.7699e-5
50,lib,1.7e-5
50,lib,2.14e-5
50,lib,2.02e-5
100,lib,0.000646596
100,lib,9.1299e-5
100,lib,5.3499e-5
100,lib,5.1599e-5
100,lib,5.93e-5
100,lib,5.1099e-5
100,lib,6.33e-5
100,lib,5.11e-5
100,lib,5.4e-5
100,lib,5.18e-5
500,lib,0.002503686
500,lib,0.001963189
500,lib,0.00193619
500,lib,0.00198589
500,lib,0.034195014
500,lib,0.00190529
500,lib,0.002011789
500,lib,0.001916089
500,lib,0.001988989
500,lib,0.00192889
1000,lib,0.089129317
1000,lib,0.089350516
1000,lib,0.090153112
1000,lib,0.01301343
1000,lib,0.089000718
1000,lib,0.089144518
1000,lib,0.089362416
1000,lib,0.091023207
1000,lib,0.013332628
1000,lib,0.013085929
1100,lib,0.09582638
1100,lib,0.016702209
1100,lib,0.016485711
1100,lib,0.016121913
1100,lib,0.092529399
1100,lib,0.094991185
1100,lib,0.092735398
1100,lib,0.098705565
1100,lib,0.01654061
1100,lib,0.016189213
1200,lib,0.099059263
1200,lib,0.098153069
1200,lib,0.099852959
1200,lib,0.096975375
1200,lib,0.099220663
1200,lib,0.097473872
1200,lib,0.09610518
1200,lib,0.094863787
1200,lib,0.102178047
1200,lib,0.097136574
1300,lib,0.10347714
1300,lib,0.102101447
1300,lib,0.102064347
1300,lib,0.102321646
1300,lib,0.105958826
1300,lib,0.100309656
1300,lib,0.18645129
1300,lib,0.179652827
1300,lib,0.10523303
1300,lib,0.102040847
1400,lib,0.188977677
1400,lib,0.185241197
1400,lib,0.076385287
1400,lib,0.10898511
1400,lib,0.189335474
1400,lib,0.108514113
1400,lib,0.182173313
1400,lib,0.191743162
1400,lib,0.183170008
1400,lib,0.184833899
1500,lib,0.196988033
1500,lib,0.194860345
1500,lib,0.19952382
1500,lib,0.112395692
1500,lib,0.198970123
1500,lib,0.195174043
1500,lib,0.19746223
1500,lib,0.19025657
1500,lib,0.197101532
1500,lib,0.192756556
